,Player,Nation,Pos,Age,ptime_MP,ptime_Starts,ptime_Min,ptime_90s,perf_Gls,perf_Ast,perf_G+A,perf_G-PK,perf_PK,perf_PKatt,perf_CrdY,perf_CrdR,exp_xG,exp_npxG,exp_xAG,exp_npxG+xAG,prog_PrgC,prog_PrgP,prog_PrgR,p90_Gls,p90_Ast,p90_G+A,p90_G-PK,p90_G+A-PK,p90_xG,p90_xAG,p90_xG+xAG,p90_npxG,p90_npxG+xAG,Matches,Team,Season,MP
21,Marcus Rashford,eng ENG,FW,27-188,,4,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.1,2.3,2.3,4.5,22.0,13.0,42.0,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,Matches,Aston Villa,2024,10.0
22,Ross Barkley,eng ENG,MF,31-153,,3,571.0,6.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,0.6,2.3,15.0,33.0,10.0,0.47,0.16,0.63,0.47,0.63,0.27,0.1,0.37,0.27,0.37,Matches,Aston Villa,2024,18.0
23,Jaden Philogene Bidace,eng ENG,"FW,MF",23-088,,2,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.5,0.5,0.3,0.8,7.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,Matches,Aston Villa,2024,11.0
24,Donyell Malen,nl NED,FW,26-118,,2,293.0,3.3,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.2,2.2,0.1,2.2,11.0,5.0,25.0,0.92,0.0,0.92,0.92,0.92,0.66,0.02,0.68,0.66,0.68,Matches,Aston Villa,2024,12.0
25,Robin Olsen,se SWE,GK,35-119,,1,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,2024,3.0
26,Kosta Nedeljković,rs SRB,DF,19-142,,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,2024,5.0
27,Emi Buendía,ar ARG,"MF,FW",28-133,,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,Matches,Aston Villa,2024,12.0
28,Benjamin Broggio,eng ENG,FW,18-098,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
29,Joe Gauci,au AUS,GK,24-307,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
30,Jamaldeen Jimoh,eng ENG,MF,18-217,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
31,Sil Swinkels,nl NED,DF,21-121,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
32,Kadan Young,eng ENG,MF,19-108,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
33,Oliwier Zych,pl POL,GK,20-313,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston Villa,2024,0.0
0,Milos Kerkez,hu HUN,DF,21-181,35.0,35,3077.0,34.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,3.7,4.2,96.0,144.0,169.0,0.06,0.15,0.2,0.06,0.2,0.02,0.11,0.12,0.01,0.12,Matches,Bournemouth,2024,
