,Player,Nation,Pos,Age,90s,standard_Gls,standard_Sh,standard_SoT,standard_SoT%,standard_Sh/90,standard_SoT/90,standard_G/Sh,standard_G/SoT,standard_Dist,standard_FK,standard_PK,standard_PKatt,expected_xG,expected_npxG,expected_npxG/Sh,expected_G-xG,expected_np:G-xG,Matches,Team,Season
320,Javier Guerra,es ESP,MF,22-128,25.9,3,44,9,20.5,1.7,0.35,0.07,0.33,22.8,1,0,0,2.0,2.0,0.05,1.0,1.0,Matches,Valencia,2024
321,Dimitri Foulquier,fr FRA,DF,32-047,24.9,0,13,2,15.4,0.52,0.08,0.0,0.0,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Valencia,2024
322,Hugo Duro,es ESP,FW,25-180,21.8,10,46,16,34.8,2.11,0.73,0.22,0.63,10.8,1,0,0,8.2,8.2,0.18,1.8,1.8,Matches,Valencia,2024
323,Enzo Barrenechea,ar ARG,MF,23-352,21.2,1,14,3,21.4,0.66,0.14,0.07,0.33,17.0,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches,Valencia,2024
324,Domingos André Ribeiro Almeida,pt POR,"MF,FW",24-344,19.5,0,15,4,26.7,0.77,0.21,0.0,0.0,23.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Valencia,2024
325,José Luis Gayà,es ESP,DF,29-349,17.3,0,11,3,27.3,0.64,0.17,0.0,0.0,19.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,Valencia,2024
326,José Luis García Vayá,es ESP,MF,26-271,17.4,1,12,4,33.3,0.69,0.23,0.0,0.0,24.8,1,1,1,1.3,0.5,0.04,-0.3,-0.5,Matches,Valencia,2024
327,Yarek Gasiorowski,es ESP,DF,20-117,10.5,0,3,0,0.0,0.29,0.0,0.0,,7.6,0,0,0,1.1,1.1,0.38,-1.1,-1.1,Matches,Valencia,2024
328,Jesus Vazquez,es ESP,DF,22-127,9.1,0,5,1,20.0,0.55,0.11,0.0,0.0,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Valencia,2024
329,Thierry Correia,pt POR,DF,26-061,8.5,0,7,3,42.9,0.82,0.35,0.0,0.0,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Valencia,2024
330,Umar Sadiq,ng NGA,FW,28-096,7.5,5,19,7,36.8,2.55,0.94,0.26,0.71,13.7,0,0,0,3.3,3.3,0.19,1.7,1.7,Matches,Valencia,2024
331,Dani Gómez,es ESP,FW,26-283,5.9,2,14,6,42.9,2.37,1.02,0.14,0.33,12.1,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches,Valencia,2024
332,Rafa Mir,es ESP,"FW,MF",27-325,6.6,0,24,6,25.0,3.62,0.9,0.0,0.0,17.3,0,0,0,2.8,2.8,0.12,-2.8,-2.8,Matches,Valencia,2024
333,Mouctar Diakhaby,gn GUI,DF,28-141,4.1,2,7,3,42.9,1.72,0.74,0.29,0.67,10.0,0,0,0,0.7,0.7,0.1,1.3,1.3,Matches,Valencia,2024
334,Hugo Guillamón,es ESP,MF,25-098,4.0,0,2,1,50.0,0.49,0.25,0.0,0.0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Valencia,2024
335,Stole Dimitrievski,mk MKD,GK,31-135,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Valencia,2024
