,Player,Nation,Pos,Age,MP,playing_time_Min,playing_time_Mn/MP,playing_time_Min%,playing_time_90s,starts_Starts,starts_Mn/Start,starts_Compl,subs_Subs,subs_Mn/Sub,subs_unSub,team_success_PPM,team_success_onG,team_success_onGA,team_success_+/-,team_success_+/-90,team_success_On-Off,team_success_(xg)_onxG,team_success_(xg)_onxGA,team_success_(xg)_xG+/-,team_success_(xg)_xG+/-90,team_success_(xg)_On-Off,Matches,Team,Season,playing_time_MP
522,Portu,es ESP,"FW,MF",32-353,23.0,560.0,24.0,18.3,6.2,3,75.0,0,20,17.0,3,0.96,9.0,9.0,0.0,0.0,0.4,9.0,8.2,0.8,0.13,0.31,Matches,Girona,2024,
523,Jhon Solis,co COL,MF,20-218,15.0,472.0,31.0,15.4,5.2,2,84.0,1,13,23.0,13,1.0,8.0,14.0,-6.0,-1.14,-0.97,6.3,9.6,-3.4,-0.64,-0.61,Matches,Girona,2024,
524,Silvi Clúa,es ESP,MF,20-100,4.0,163.0,41.0,5.3,1.8,2,68.0,0,2,14.0,7,2.25,3.0,3.0,0.0,0.0,0.34,2.3,0.8,1.5,0.83,1.01,Matches,Girona,2024,
525,Gabriel Osei Misehouy,nl NED,"FW,MF",19-295,9.0,257.0,29.0,8.4,2.9,1,90.0,1,8,21.0,19,0.56,2.0,3.0,-1.0,-0.35,-0.03,4.5,3.6,0.9,0.31,0.48,Matches,Girona,2024,
526,Iker Almena,es ESP,"FW,DF",21-005,2.0,48.0,24.0,1.6,0.5,0,,0,2,24.0,0,0.5,1.0,1.0,0.0,0.0,0.33,1.1,1.0,0.1,0.24,0.37,Matches,Girona,2024,
527,Papa Ba,es ESP,MF,20-239,1.0,48.0,48.0,1.6,0.5,0,,0,1,48.0,2,0.0,0.0,0.0,0.0,0.0,0.33,0.2,0.5,-0.3,-0.6,-0.49,Matches,Girona,2024,
528,Pau López,es ESP,GK,30-147,1.0,45.0,45.0,1.5,0.5,0,,0,1,45.0,16,0.0,1.0,2.0,-1.0,-2.0,-1.7,0.9,2.1,-1.2,-2.34,-2.25,Matches,Girona,2024,
529,Kim Minsu,kr KOR,"MF,FW",19-110,3.0,22.0,7.0,0.7,0.2,0,,0,3,7.0,2,1.0,0.0,0.0,0.0,0.0,0.33,0.3,0.0,0.2,0.96,1.09,Matches,Girona,2024,
530,Ferrán Ruiz,es ESP,MF,22-013,1.0,18.0,18.0,0.6,0.2,0,,0,1,18.0,1,3.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.12,Matches,Girona,2024,
531,Juan Carlos,es ESP,GK,37-109,0.0,,,0.0,0.0,0,,0,0,,29,0.0,0.0,1.0,-1.0,,,,,,,,Matches,Girona,2024,
532,Aleksandar Andreev,bg BUL,GK,19-045,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Girona,2024,
533,Ricard Artero,es ESP,MF,22-093,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Girona,2024,
534,Dawda Camara,mr MTN,FW,22-186,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Girona,2024,
535,Enric García,es ESP,MF,19-070,0.0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,Girona,2024,
536,Jastin García,es ESP,FW,21-114,0.0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Girona,2024,
537,Lucas García,es ESP,GK,21-128,0.0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Girona,2024,
538,Raúl Martínez,es ESP,MF,23-075,0.0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,Girona,2024,
539,Joel Roca,es ESP,FW,19-336,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Girona,2024,
540,Toni Villa,es ESP,MF,30-122,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,Girona,2024,
541,Krapyvtsov Vladyslav,ua UKR,GK,19-318,0.0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches,Girona,2024,
542,Antal Yaakobishvili,hu HUN,DF,20-301,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,Girona,2024,
543,Dodi Lukebakio,be BEL,FW,27-227,,2822.0,83.0,92.2,31.4,33,85.0,21,1,24.0,0,1.12,36.0,43.0,-7.0,-0.22,0.53,33.5,39.6,-6.0,-0.19,-0.25,Matches,Sevilla,2024,34.0
