,Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
173,Thiago Ojeda,ar ARG,MF,22-117,0.1,8,8,0,0,0,0,1,0,0,0,0,0,7,0,0,Matches,Villarreal,2024
174,Karl Etta,cm CMR,MF,21-207,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Villarreal,2024
175,Vicente Guaita,es ESP,GK,38-119,30.0,852,607,243,44,0,0,0,0,0,0,0,0,709,2,0,Matches,Celta Vigo,2024
176,Óscar Mingueza,es ESP,"MF,DF",25-361,26.6,1943,1612,323,56,11,10,123,241,26,11,11,0,1503,8,34,Matches,Celta Vigo,2024
177,Marcos Alonso,es ESP,DF,34-132,27.0,2197,2053,141,71,2,23,38,48,14,10,2,0,1956,3,22,Matches,Celta Vigo,2024
178,Carl Starfelt,se SWE,DF,29-342,25.2,1643,1614,29,22,1,5,0,0,0,0,0,0,1539,0,4,Matches,Celta Vigo,2024
179,Fran Beltrán,es ESP,MF,26-095,23.4,1319,1271,44,41,5,14,3,2,1,0,1,0,1171,4,14,Matches,Celta Vigo,2024
180,Javi Rodríguez,es ESP,DF,21-317,24.4,1485,1395,90,27,2,9,3,63,0,0,0,0,1282,0,16,Matches,Celta Vigo,2024
181,Borja Iglesias,es ESP,FW,32-112,19.9,449,389,52,1,8,8,5,2,0,0,0,0,318,8,21,Matches,Celta Vigo,2024
182,Ilaix Moriba,gn GUI,MF,22-110,19.7,864,837,23,18,3,10,5,4,0,0,0,0,745,4,6,Matches,Celta Vigo,2024
