,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
72,Reinildo Mandava,mz MOZ,DF,31-108,10.5,515,612,84.2,7852,2969,284,302,94.0,204,247,82.6,20,45,44.4,0,0.1,0.2,-0.1,2,24,2,0,34,Matches,Atletico Madrid,2024
73,César Azpilicueta,es ESP,DF,35-254,8.2,498,579,86.0,7818,3049,251,269,93.3,210,236,89.0,26,58,44.8,0,0.0,0.4,0.0,2,38,4,1,55,Matches,Atletico Madrid,2024
74,Axel Witsel,be BEL,DF,36-117,8.5,443,492,90.0,8151,3042,159,175,90.9,248,270,91.9,33,40,82.5,1,0.5,0.6,0.5,2,16,0,0,18,Matches,Atletico Madrid,2024
75,Rodrigo Riquelme,es ESP,"MF,DF",25-037,5.7,210,269,78.1,2838,854,131,150,87.3,60,69,87.0,8,27,29.6,1,0.8,0.8,0.2,15,17,12,3,24,Matches,Atletico Madrid,2024
76,Ángel Correa,ar ARG,"FW,MF",30-061,8.1,182,248,73.4,2420,666,114,140,81.4,46,61,75.4,8,18,44.4,1,1.3,1.8,-0.3,9,18,9,1,22,Matches,Atletico Madrid,2024
77,Juan Musso,ar ARG,GK,31-003,1.0,23,29,79.3,443,264,5,5,100.0,16,16,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Atletico Madrid,2024
78,Thomas Lemar,fr FRA,MF,29-178,0.7,38,46,82.6,650,263,15,17,88.2,17,20,85.0,4,6,66.7,0,0.2,0.2,-0.2,2,0,2,0,5,Matches,Atletico Madrid,2024
79,Adrian Niño,es ESP,FW,20-324,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Atletico Madrid,2024
80,Iñaki Williams,gh GHA,FW,30-328,29.0,515,818,63.0,7816,2275,289,387,74.7,192,285,67.4,23,76,30.3,8,7.5,4.9,0.5,42,38,51,15,76,Matches,Athletic Club,2024
81,Daniel Vivian,es ESP,DF,25-298,25.7,1346,1549,86.9,27792,10528,356,394,90.4,822,873,94.2,162,255,63.5,0,0.4,0.7,-0.4,10,151,8,3,157,Matches,Athletic Club,2024
82,Álex Berenguer,es ESP,"FW,MF",29-309,23.0,570,856,66.6,9247,2310,305,356,85.7,196,265,74.0,53,171,31.0,7,4.6,4.1,2.4,41,46,27,10,73,Matches,Athletic Club,2024
83,Mikel Jauregizar,es ESP,MF,21-178,21.8,821,1019,80.6,15288,4168,332,382,86.9,373,440,84.8,106,158,67.1,1,1.4,1.1,-0.4,22,98,9,1,104,Matches,Athletic Club,2024
84,Nico Williams,es ESP,FW,22-301,21.3,486,687,70.7,7609,1765,278,333,83.5,157,208,75.5,37,85,43.5,5,3.5,4.1,1.5,39,23,28,8,68,Matches,Athletic Club,2024
85,Beñat Prados,es ESP,MF,24-090,17.9,611,750,81.5,10248,2480,276,325,84.9,282,326,86.5,39,68,57.4,0,1.1,1.3,-1.1,11,66,5,1,67,Matches,Athletic Club,2024
86,Gorka Guruzeta,es ESP,FW,28-239,18.1,261,360,72.5,3774,519,156,196,79.6,83,114,72.8,12,26,46.2,2,0.9,0.4,1.1,14,19,1,0,27,Matches,Athletic Club,2024
87,Aitor Paredes,es ESP,DF,25-010,18.1,734,875,83.9,15837,5930,160,179,89.4,482,517,93.2,90,169,53.3,0,0.1,0.1,-0.1,2,39,2,0,44,Matches,Athletic Club,2024
88,Yuri Berchiche,es ESP,DF,35-088,18.7,973,1158,84.0,17377,6285,442,491,90.0,438,510,85.9,86,128,67.2,2,2.1,1.9,-0.1,17,109,14,7,130,Matches,Athletic Club,2024
89,Yeray Álvarez,es ESP,DF,30-105,17.8,881,1047,84.1,17820,6199,263,294,89.5,526,565,93.1,91,169,53.8,0,0.2,0.4,-0.2,4,75,3,2,103,Matches,Athletic Club,2024
90,Oihan Sancet,es ESP,MF,25-014,16.3,424,521,81.4,6434,1541,244,281,86.8,148,176,84.1,22,34,64.7,1,1.4,1.3,-0.4,17,62,14,1,85,Matches,Athletic Club,2024
91,Unai Simón,es ESP,GK,27-332,17.0,367,536,68.5,10829,8708,44,44,100.0,202,206,98.1,121,282,42.9,0,0.0,0.0,0.0,0,7,0,0,0,Matches,Athletic Club,2024
92,Andoni Gorosabel,es ESP,DF,28-278,15.6,703,840,83.7,10612,3128,395,430,91.9,274,326,84.0,24,48,50.0,2,1.8,1.7,0.2,14,57,16,10,50,Matches,Athletic Club,2024
