,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
514,Dinko Horkaš,hr CRO,GK,26-060,8.1,272,354,76.8,7400,5337,49,49,100.0,144,147,98.0,78,154,50.6,0,0.0,0.0,0.0,0,6,0,0,0,Matches,Las Palmas,2024
515,Manuel Fuster,es ESP,"FW,MF",27-199,8.8,363,472,76.9,5960,1702,192,214,89.7,115,148,77.7,41,76,53.9,1,1.6,1.6,-0.6,23,43,22,5,56,Matches,Las Palmas,2024
516,Enzo Loiodice,fr FRA,MF,24-163,5.6,266,317,83.9,4467,1005,131,149,87.9,108,126,85.7,20,28,71.4,0,0.1,0.1,-0.1,3,22,1,0,20,Matches,Las Palmas,2024
517,Jaime Mata,es ESP,FW,36-197,5.9,99,149,66.4,1429,234,58,79,73.4,31,42,73.8,5,11,45.5,0,0.1,0.3,-0.1,3,7,3,1,9,Matches,Las Palmas,2024
518,Adnan Januzaj,be BEL,"MF,FW",30-093,4.5,171,250,68.4,3389,1140,69,80,86.3,75,97,77.3,27,60,45.0,1,0.8,1.3,0.2,11,22,10,4,32,Matches,Las Palmas,2024
519,Andy Pelmard,fr FRA,DF,25-058,2.3,98,115,85.2,1674,470,50,52,96.2,41,46,89.1,6,13,46.2,0,0.0,0.1,0.0,1,9,4,0,13,Matches,Las Palmas,2024
520,Benito Ramírez,es ESP,"DF,MF",29-302,4.3,214,268,79.9,3351,879,119,127,93.7,77,88,87.5,14,33,42.4,0,0.8,0.8,-0.8,10,8,8,6,13,Matches,Las Palmas,2024
521,Daley Sinkgraven,nl NED,DF,29-309,1.0,50,66,75.8,682,211,31,31,100.0,17,25,68.0,1,7,14.3,0,0.0,0.0,0.0,1,2,1,0,3,Matches,Las Palmas,2024
522,Marc Cardona,es ESP,"FW,DF",29-305,1.2,35,43,81.4,506,79,18,21,85.7,12,14,85.7,2,3,66.7,0,0.0,0.1,0.0,0,4,0,0,3,Matches,Las Palmas,2024
523,Fabio González,es ESP,MF,28-086,0.6,43,53,81.1,756,181,20,24,83.3,18,20,90.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches,Las Palmas,2024
524,Pejiño,es ESP,FW,28-284,0.2,6,7,85.7,87,22,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,Las Palmas,2024
525,Valentín Pezzolesi,es ESP,DF,18-023,0.1,2,5,40.0,45,4,0,2,0.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Las Palmas,2024
526,Aboubacar Bassinga,ci CIV,MF,19-300,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Las Palmas,2024
527,Sergi,es ESP,DF,33-019,31.4,1211,1455,83.2,23978,9423,382,412,92.7,668,725,92.1,151,283,53.4,0,0.4,0.5,-0.4,5,56,5,0,76,Matches,Leganes,2024
528,Marko Dmitrović,rs SRB,GK,33-105,28.0,400,937,42.7,15036,12692,49,49,100.0,145,147,98.6,206,734,28.1,0,0.2,0.1,-0.2,1,24,0,0,1,Matches,Leganes,2024
529,Seydouba Cissé,gn GUI,MF,24-088,23.2,822,976,84.2,13618,2807,385,428,90.0,338,384,88.0,69,107,64.5,0,0.3,0.6,-0.3,10,67,12,0,91,Matches,Leganes,2024
530,Valentin Rosier,fr FRA,DF,28-263,27.1,881,1125,78.3,13586,5265,484,529,91.5,323,405,79.8,47,117,40.2,2,1.1,1.2,0.9,11,62,17,4,68,Matches,Leganes,2024
531,Yvan Neyou,cm CMR,MF,28-126,24.1,879,1030,85.3,13704,3604,466,514,90.7,324,368,88.0,57,84,67.9,1,0.5,1.0,0.5,11,80,9,1,90,Matches,Leganes,2024
532,Javi Hernández,es ESP,DF,27-007,23.5,673,903,74.5,10464,3850,369,432,85.4,251,314,79.9,35,108,32.4,1,1.3,1.2,-0.3,15,44,9,4,62,Matches,Leganes,2024
533,Renato Tapia,pe PER,"MF,DF",29-285,23.2,681,882,77.2,12087,3904,328,379,86.5,272,320,85.0,70,134,52.2,0,0.4,0.7,-0.4,7,61,8,0,62,Matches,Leganes,2024
534,Juan Cruz,es ESP,"FW,MF",25-014,23.1,453,669,67.7,7141,2755,246,302,81.5,158,223,70.9,36,96,37.5,3,3.3,3.2,-0.3,21,29,29,13,59,Matches,Leganes,2024
535,Matija Nastasić,rs SRB,DF,32-042,22.6,687,833,82.5,13873,4704,199,221,90.0,411,454,90.5,70,142,49.3,0,0.1,0.4,-0.1,2,35,1,0,58,Matches,Leganes,2024
536,Dani Raba,es ESP,"FW,MF",29-192,18.1,349,537,65.0,6076,2044,159,194,82.0,135,192,70.3,42,111,37.8,4,3.6,3.2,0.4,36,38,19,2,59,Matches,Leganes,2024
537,Miguel,es ESP,FW,25-248,18.6,128,224,57.1,1821,368,71,108,65.7,42,67,62.7,5,14,35.7,3,1.4,0.8,1.6,7,9,5,1,16,Matches,Leganes,2024
538,Darko Brašanac,rs SRB,MF,33-086,17.3,351,472,74.4,4923,1224,202,234,86.3,116,159,73.0,14,32,43.8,2,0.4,0.5,1.6,8,24,2,0,42,Matches,Leganes,2024
539,Jorge Sáenz,es ESP,DF,28-173,14.8,589,706,83.4,11819,4477,194,205,94.6,329,356,92.4,61,132,46.2,0,0.1,0.2,-0.1,2,23,1,0,26,Matches,Leganes,2024
540,Adrià Altimira,es ESP,"DF,FW",24-042,14.1,361,461,78.3,5729,1662,197,228,86.4,132,168,78.6,26,46,56.5,0,0.2,0.5,-0.2,5,29,8,1,38,Matches,Leganes,2024
541,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26-315,13.9,372,515,72.2,6521,2018,177,207,85.5,131,178,73.6,49,91,53.8,4,2.0,1.5,2.0,17,28,21,7,59,Matches,Leganes,2024
542,Diego,es ESP,"FW,MF",25-021,10.3,101,149,67.8,1497,293,50,64,78.1,38,60,63.3,6,9,66.7,0,0.2,0.2,-0.2,5,7,3,1,14,Matches,Leganes,2024
543,Munir El Haddadi,ma MAR,"FW,MF",29-250,7.4,131,190,68.9,1685,431,86,104,82.7,40,59,67.8,1,10,10.0,0,0.7,0.4,-0.7,5,11,4,1,19,Matches,Leganes,2024
544,Enric Franquesa,es ESP,"DF,FW",28-072,6.8,158,225,70.2,2513,1004,71,88,80.7,69,93,74.2,11,26,42.3,0,0.1,0.1,-0.1,2,5,2,2,12,Matches,Leganes,2024
545,Juan Soriano,es ESP,GK,27-259,6.0,98,185,53.0,3513,2922,17,17,100.0,35,35,100.0,46,133,34.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Leganes,2024
546,Sébastien Haller,ci CIV,FW,30-321,4.5,54,90,60.0,648,93,35,50,70.0,13,24,54.2,2,4,50.0,0,0.2,0.2,-0.2,1,4,0,0,4,Matches,Leganes,2024
547,Roberto López,es ESP,MF,25-015,4.4,152,208,73.1,2443,735,81,97,83.5,43,51,84.3,18,39,46.2,1,0.9,0.5,0.1,10,22,2,1,20,Matches,Leganes,2024
548,Yan Diomandé,ci CIV,"FW,MF",18-176,2.6,49,64,76.6,685,207,22,27,81.5,23,26,88.5,0,4,0.0,0,0.2,0.2,-0.2,3,2,1,0,7,Matches,Leganes,2024
549,Julián Chicco,ar ARG,"MF,DF",27-116,3.3,110,139,79.1,1844,630,48,55,87.3,50,57,87.7,8,17,47.1,1,0.2,0.3,0.8,2,10,2,0,16,Matches,Leganes,2024
550,Aritz Arambarri,es ESP,DF,27-098,2.0,49,67,73.1,1025,258,11,13,84.6,34,41,82.9,4,12,33.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches,Leganes,2024
551,Duk,cv CPV,"MF,FW",25-082,1.6,26,41,63.4,387,126,16,19,84.2,9,13,69.2,0,2,0.0,0,0.6,0.4,-0.6,4,0,2,1,3,Matches,Leganes,2024
552,Borna Barišić,hr CRO,DF,32-180,0.1,3,4,75.0,48,2,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Leganes,2024
553,Karl Jakob Hein,ee EST,GK,23-026,28.0,785,1071,73.3,22809,16083,114,114,100.0,437,441,99.1,234,514,45.5,0,0.0,0.1,0.0,0,21,0,0,0,Matches,Valladolid,2024
554,Luis Pérez,es ESP,DF,30-094,26.9,856,1137,75.3,15269,5655,387,440,88.0,350,464,75.4,108,183,59.0,0,1.9,2.4,-1.9,25,57,31,28,83,Matches,Valladolid,2024
555,Javi Sánchez,es ESP,DF,28-056,22.5,1015,1163,87.3,20366,7564,316,332,95.2,582,612,95.1,112,196,57.1,0,0.3,0.4,-0.3,6,42,1,0,34,Matches,Valladolid,2024
556,Raúl Moro,es ESP,"MF,FW",22-155,22.2,438,669,65.5,8627,2652,193,246,78.5,149,210,71.0,87,159,54.7,4,5.0,4.5,-1.0,41,37,34,20,70,Matches,Valladolid,2024
557,Lucas Oliveira Rosa,br BRA,DF,25-036,21.0,637,833,76.5,10312,3479,331,372,89.0,252,318,79.2,42,92,45.7,1,2.0,1.5,-1.0,13,34,6,4,50,Matches,Valladolid,2024
558,Stanko Jurić,hr CRO,MF,28-266,19.2,636,755,84.2,10454,2996,300,341,88.0,287,320,89.7,35,61,57.4,0,0.5,0.3,-0.5,4,40,4,0,57,Matches,Valladolid,2024
559,Mario Martín,es ESP,MF,21-065,17.9,625,736,84.9,11037,2776,257,294,87.4,294,321,91.6,52,77,67.5,1,1.4,1.2,-0.4,11,51,3,1,62,Matches,Valladolid,2024
560,Eray Cömert,ch SUI,"DF,MF",27-094,16.9,680,780,87.2,13940,4535,191,218,87.6,409,432,94.7,73,114,64.0,0,0.0,0.1,0.0,0,44,1,0,42,Matches,Valladolid,2024
561,Anuar,ma MAR,"MF,FW",30-114,16.6,324,406,79.8,4823,783,167,196,85.2,132,160,82.5,12,25,48.0,0,0.5,0.5,-0.5,6,10,3,2,22,Matches,Valladolid,2024
562,Mamadou Sylla,sn SEN,"FW,MF",31-050,16.5,162,259,62.5,2467,388,93,125,74.4,54,87,62.1,9,14,64.3,1,1.7,0.6,-0.7,14,11,5,0,20,Matches,Valladolid,2024
563,Selim Amallah,ma MAR,MF,28-175,14.0,295,376,78.5,5096,1482,155,170,91.2,89,106,84.0,41,70,58.6,1,0.8,1.1,0.2,11,39,8,0,48,Matches,Valladolid,2024
564,David Torres,es ESP,DF,22-065,15.4,589,714,82.5,11231,4594,193,205,94.1,335,373,89.8,59,115,51.3,0,0.0,0.1,0.0,1,27,1,1,37,Matches,Valladolid,2024
565,Kike Pérez,es ESP,MF,28-084,13.2,440,564,78.0,8065,2480,183,220,83.2,191,217,88.0,49,92,53.3,0,1.0,1.1,-1.0,17,47,5,0,67,Matches,Valladolid,2024
566,Marcos André,br BRA,FW,28-201,13.1,138,210,65.7,2358,395,79,103,76.7,42,65,64.6,14,18,77.8,2,0.8,0.3,1.2,9,13,3,0,16,Matches,Valladolid,2024
567,Iván Sánchez,es ESP,"MF,FW",32-228,14.0,354,497,71.2,6307,1971,169,190,88.9,129,173,74.6,48,105,45.7,1,2.0,2.2,-1.0,18,40,16,10,64,Matches,Valladolid,2024
568,Juanmi Latasa,es ESP,FW,24-047,12.0,122,208,58.7,1802,298,72,104,69.2,36,69,52.2,8,13,61.5,0,0.5,0.3,-0.5,10,7,2,1,12,Matches,Valladolid,2024
569,Juma Bah,sl SLE,DF,19-028,9.6,330,407,81.1,6294,2123,118,131,90.1,177,191,92.7,31,73,42.5,0,0.0,0.0,0.0,1,15,0,0,13,Matches,Valladolid,2024
570,Antonio Candela,it ITA,DF,25-012,8.0,293,381,76.9,4946,1609,145,158,91.8,116,153,75.8,24,54,44.4,0,0.5,0.5,-0.5,4,16,5,5,19,Matches,Valladolid,2024
571,Adam Aznou,ma MAR,DF,18-341,7.5,186,262,71.0,2805,904,106,124,85.5,61,91,67.0,13,27,48.1,0,0.1,0.1,-0.1,3,15,1,0,19,Matches,Valladolid,2024
572,Chuky san jose,es ESP,MF,21-010,7.2,103,148,69.6,1709,461,55,67,82.1,32,44,72.7,13,24,54.2,0,0.8,0.8,-0.8,6,8,4,2,13,Matches,Valladolid,2024
573,Darwin Machís,ve VEN,"MF,FW",32-091,6.9,158,256,61.7,2899,860,73,87,83.9,55,86,64.0,23,63,36.5,1,0.5,0.9,0.5,8,17,5,4,19,Matches,Valladolid,2024
574,Tamás Nikitscher,hu HUN,MF,25-187,6.3,195,211,92.4,3040,617,101,109,92.7,76,79,96.2,12,15,80.0,0,0.0,0.0,0.0,1,8,1,0,8,Matches,Valladolid,2024
575,Florian Grillitsch,at AUT,MF,29-275,5.3,222,274,81.0,4279,1077,83,93,89.2,105,120,87.5,29,47,61.7,0,0.6,0.4,-0.6,7,26,5,0,33,Matches,Valladolid,2024
576,Joseph Aidoo,gh GHA,DF,29-222,6.0,323,360,89.7,6776,2399,77,82,93.9,204,214,95.3,41,62,66.1,0,0.0,0.1,0.0,0,9,2,0,12,Matches,Valladolid,2024
577,André Ferreira,pt POR,GK,28-345,5.0,114,164,69.5,3243,2404,15,15,100.0,66,66,100.0,33,82,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Valladolid,2024
578,Cenk Özkacar,tr TUR,DF,24-215,4.9,176,212,83.0,3554,1303,54,58,93.1,106,114,93.0,15,34,44.1,0,0.0,0.0,0.0,0,4,0,0,5,Matches,Valladolid,2024
579,Amath,sn SEN,"FW,DF",28-297,3.9,75,98,76.5,1131,259,43,47,91.5,23,28,82.1,6,12,50.0,1,0.2,0.1,0.8,4,4,3,1,12,Matches,Valladolid,2024
580,Enzo Boyomo,cm CMR,DF,23-214,3.0,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7,Matches,Valladolid,2024
581,Víctor Meseguer,es ESP,MF,25-334,4.6,148,189,78.3,2262,703,76,89,85.4,57,71,80.3,6,11,54.5,0,0.0,0.3,0.0,1,17,1,1,22,Matches,Valladolid,2024
582,Henrique,br BRA,DF,31-014,2.2,117,136,86.0,1815,420,58,61,95.1,53,60,88.3,6,12,50.0,0,0.0,0.0,0.0,1,9,0,0,9,Matches,Valladolid,2024
583,Raúl Chasco,es ESP,DF,21-238,1.4,35,58,60.3,730,329,15,19,78.9,13,20,65.0,7,16,43.8,0,0.0,0.1,0.0,1,5,1,0,3,Matches,Valladolid,2024
584,Arnau Rafús,es ESP,GK,22-012,1.0,33,43,76.7,1001,672,4,4,100.0,20,21,95.2,9,17,52.9,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Valladolid,2024
585,Mario Maroto,es ESP,MF,21-162,0.2,11,15,73.3,200,65,6,6,100.0,3,4,75.0,2,2,100.0,1,0.1,0.0,0.9,1,2,0,0,1,Matches,Valladolid,2024
586,Adrian Baquerin,es ESP,FW,18-066,0.1,3,3,100.0,37,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,Valladolid,2024
587,Kenedy,br BRA,"MF,FW",29-090,0.1,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Valladolid,2024
